username,userid,nFollowers,nFollowings,FollowersToFollowing,nLists,nFavs,nPosts,geo,location,url,description,verified,bot_in_name,bot_in_des,fav_tweets,fav_retweets,fav_replies,ret_tweets,ret_retweets,ret_replies,pop_fav_tweets,pop_fav_retweets,pop_fav_replies,pop_ret_tweets,pop_ret_retweets,pop_ret_replies,nPostMention,nPostQuote,nPostPlace,Tavg,age,screen_name_len
Shutterstock,14516920,289153,726,398.2823691460055,3518,12148,33873,1,1,1,1,1,0,0,1404,0,31,397,12,6,0.014540483440004972,0.0,0.0006469655229985809,0.004111518465585451,0.01652892561983471,0.0001252191334835963,80,0,0,11284.675,56145799.0,12
Blissful_Eats,414416233,1594,1667,0.9562087582483503,56,693,9235,0,1,1,1,0,0,0,26,0,0,7,0,0,7.798440311937613e-05,,,2.0995800839832035e-05,,,45,0,0,31045.11,168570846.0,13
americacredit,568815176,160,0,,171,0,250104,0,1,1,1,0,0,0,4,0,0,1,0,0,,,,,,,1,0,0,575.065,183014093.0,13
TV_Trax,15856550,790,432,1.8287037037037037,36,1,47322,0,1,0,1,0,0,0,8,0,0,2,0,0,9.259259259259259e-05,,,2.3148148148148147e-05,,,0,0,0,4711.37,65830237.0,7
click88sure,1257260767,534,9,59.333333333333336,206,63,237481,0,0,0,1,0,0,0,9,0,0,22,0,0,0.005,,,0.012222222222222223,,,0,0,0,444.74,210006778.0,11
lifessubatomic,894347986028900353,1,63,0.015873015873015872,0,0,3,0,0,0,1,0,0,0,1,0,0,0,0,0,0.005291005291005291,,,0.0,,,0,0,0,981651.6666666666,349142550.0,14
Geek_Initiative,3075666026,933,820,1.1378048780487804,46,66,10939,0,0,0,1,0,0,0,15,0,1,7,534,0,9.577320904099093e-05,0.0,0.0012195121951219512,4.46941642191291e-05,0.08140243902439025,0.0,10,0,0,169347.445,273275190.0,15
fetchfind,1549120147,2719,2809,0.9679601281594874,212,18635,25444,1,1,1,1,0,0,0,105,0,0,19,0,0,0.0001897454339116654,,0.0,3.433488804115849e-05,,0.0,84,0,0,229315.97,219359113.0,9
HighTechPlanet,1323123570,1431,1374,1.0414847161572052,90,11,90801,0,0,0,0,0,0,0,6,0,0,2,0,0,2.1834061135371177e-05,,,7.2780203784570594e-06,,,0,0,0,530042.88,212009872.0,14
CaronHohner,2814840025,461,0,,965,897,89384,0,0,1,1,0,0,0,11,0,0,1,345,0,,,,,,,69,3,0,505.0923913043478,258033133.0,11
SML2020,2402769385,646,580,1.1137931034482758,21,1539,5804,1,1,1,1,0,0,0,2,0,0,2,166,0,1.7683465959328027e-05,0.0,,1.7683465959328027e-05,0.057241379310344835,,6,1,0,514079.92,242546660.0,7
WFWildcats,59152510,2835,372,7.620967741935484,34,562,13883,1,1,1,1,0,0,0,840,0,1,141,0,0,0.01152073732718894,,0.0006720430107526882,0.001933838051349572,,0.0,45,2,0,14766.39,95354406.0,10
TCGJobs,793777357,744,7,106.28571428571429,1524,0,760,1,0,1,1,0,0,0,10,0,0,6,0,0,0.0071428571428571435,,,0.004285714285714286,,,0,0,148,28993.925,193495011.0,7
thebiglead,343638363,37202,1452,25.62121212121212,847,131,120753,1,0,1,1,1,0,0,496,0,0,167,136,0,0.0018872806416754182,0.0,,0.0006354352160479734,0.004929679570827896,,65,3,0,3505.655,158880586.0,10
WonderRhythm,27825714,473,659,0.7177541729893778,36,269,8031,1,1,1,0,0,0,0,194,0,12,20,174,3,0.0018060455979965928,0.0,0.0008671146759158899,0.00018619026783470028,0.016502276176024278,0.00021677866897897247,80,3,93,393226.965,85558114.0,12
