username,source_freq_map
sheezy0,{'dlvr.it': 200}
DavdBurnett,"{'Twitter Web App': 110, 'TweetDeck': 89, 'Hootsuite Inc.': 1}"
douggarland,"{'Twitter Web Client': 123, 'Twitter for iPhone': 67, 'Periscope': 4, 'Twitter for Android': 2, 'erased9005584': 1, 'Vine - Make a Scene': 1, 'Mobile Web': 1}"
WilfordGemma,{'Twitter for iPhone': 200}
monroevicious,{'Twitter for iPhone': 199}
Shutterstock,"{'Salesforce - Social Studio': 196, 'Twitter Web App': 3, 'Twitter for iPhone': 1}"
GabrieleNeher,"{'Twitter for iPhone': 97, 'Twitter Web App': 85, 'Instagram': 18}"
Blissful_Eats,"{'MeetEdgar': 176, 'Facebook': 24}"
kaylanabrewer_,{'Twitter for iPhone': 193}
americacredit,{'dlvr.it': 200}
Toucaan_Samm,{'Twitter for iPhone': 117}
SSmyth2010,"{'Twitter Web App': 166, 'Twitter Web Client': 31, 'Mobile Web (M2)': 3}"
DarkToonsGaming,"{'Twitter Web Client': 15, 'Twitter Web App': 1}"
jlpeter37,{'Twitter for Android': 200}
bethleia,{'Twitter for iPhone': 198}
StrictlyAri,{'Twitter for iPhone': 181}
JHurkett,"{'Twitter for iPhone': 166, 'Twitter for iPad': 26, 'Twitter Web App': 2, 'Twitter Web Client': 1}"
karenhbullard,"{'Twitter for iPhone': 179, 'Twitter for iPad': 11, 'Instagram': 8, 'Twitter Web Client': 1}"
TV_Trax,{'dlvr.it': 200}
HalRappaport,"{'Twitter Web Client': 188, 'Twitter for iPhone': 7, 'Twitter for iPad': 2, 'Twitter Web App': 1, 'Facebook': 1}"
click88sure,{'dlvr.it': 200}
__amira_,{'Twitter for iPhone': 197}
lifessubatomic,{'Twitter Web Client': 3}
brandonpattrson,"{'Twitter for Android': 184, 'Twitter Web App': 16}"
Geek_Initiative,"{'dlvr.it': 191, 'Twitter for iPhone': 9}"
danydifazio,"{'Twitter for Android': 199, 'Twitter Web App': 1}"
fetchfind,"{'HubSpot': 195, 'Twitter for Android': 5}"
KABULALA,"{'Mobile Web (M2)': 199, 'Twitter Web Client': 1}"
DJKRO,"{'Twitter for iPhone': 173, 'Twitter Web App': 27}"
alexandraalice,"{'Twitter for iPhone': 186, 'Twitter Web Client': 8, 'Instagram': 1, 'Spotify': 1}"
sfwhmnzne,{'Twitter for Android': 199}
HighTechPlanet,{'Tech News App': 200}
Scott_Ryan_,"{'Twitter for iPhone': 163, 'Twitter Web App': 17, 'iOS': 12, 'Twitter for iPad': 5}"
Zoe_o_Ebot,{'twittbot.net': 200}
CaronHohner,"{'dlvr.it': 106, 'RoundTeam': 78}"
manikarthik,"{'Twitter for iPhone': 80, 'Twitter Web App': 63, 'Buffer': 29, 'TweetDeck': 26, 'Twitter Web Client': 2}"
SML2020,"{'Crowdfire Inc.': 158, 'erased5423693': 35, 'Twitter for Android': 4, 'TweetDeck': 2, 'Twitter Web Client': 1}"
cheer_diva97,{'Twitter for iPhone': 171}
Moonfell44,"{'Twitter for Android': 185, 'Twitter Web App': 14}"
alanhudson1,"{'TweetDeck': 176, 'Twitter Web App': 8, 'Twitter Web Client': 6, 'Phone2Action': 6, 'Paper.li': 4}"
Miss_Masaya,"{'Twitter for iPhone': 194, 'Twitter Web App': 3}"
RAEHEREEEE,"{'Twitter for Android': 105, 'Twitter for iPhone': 76, 'Twitter for iPad': 7, 'Twitter Web App': 1}"
Ilse_Futbolista,"{'Twitter Web App': 152, 'Twitter for iPad': 31, 'Twitter for Android': 12, 'Instagram': 5}"
ShitApolloYells,{'twittbot.net': 200}
Odi_SH,{'Twitter for iPhone': 198}
WFWildcats,"{'Twitter Web Client': 154, 'Facebook': 37, 'Twitter for iPhone': 9}"
AngieMozart,"{'Twitter for iPad': 119, 'Twitter for Mac': 60, 'Twitter for iPhone': 12, 'Tweetbot for Mac': 9}"
YemiSureGirl,{'WordPress.com': 200}
smizz,"{'Twitter for iPhone': 121, 'Twitter Web App': 75, 'Foursquare': 3}"
TCGJobs,{'CareerArc 2.0': 200}
angie48534918,"{'Twitter for iPhone': 170, 'Twitter Web Client': 9}"
thebiglead,"{'TweetDeck': 152, 'Twitter Web App': 43, 'Twitter for iPhone': 3, 'Periscope': 1, 'Twitter Media Studio': 1}"
WonderRhythm,"{'Instagram': 89, 'Twitter Web Client': 82, 'Twitter for Android': 21, 'Google': 7, 'Amazon': 1}"
anneaviel,"{'Twitter for Android': 92, 'Plume for Android': 88, 'TweetDeck': 12, 'TwiAgeCom': 1}"
DallasTX_News,{'dlvr.it': 200}
Marit433,{'Twitter Web Client': 200}
ClemsonJohn,{'Twitter for iPhone': 200}
movieskink,"{'Twitter for iPhone': 179, 'Twitterrific for Mac': 17, 'Twitter Web App': 4}"
MSSociety_Brant,{'Facebook': 200}
AGROWN1,"{'Paper.li': 156, 'Twitter for iPhone': 30, 'Twitter Web Client': 11, 'Twitter Web App': 3}"
LmarieAsad,"{'Twitter for Android': 195, 'LinkedIn': 5}"
AliciaVRuiz,{'IFTTT': 200}
kingclay__,{'Twitter for iPhone': 5}
EMA_radio1,"{'Twitter for Android': 174, 'Twitter Web App': 10, 'Twitter for iPhone': 6, 'Twitter Web Client': 3}"
sh4nnonmiller,{'Twitter for iPhone': 161}
DrRockt0pus,"{'Twitter for Android': 144, 'TweetDeck': 45, 'Twitter Web App': 7, 'Goodreads': 4}"
buomar94,{'Twitter for iPhone': 190}
Mydickboyyy,{'Twitter for iPhone': 193}
ArdithBordonaro,{'dlvr.it': 200}
spikenewlyn,"{'Plume for Android': 144, 'TweetCaster for Android': 14, 'Talon Plus': 13, 'TweetDeck': 12, 'Twitter for Android': 6, 'Talon Android': 4, 'Twitter Web Client': 3, 'Twitter Web App': 1, 'Mobile Web': 1}"
mickbk,"{'Twitter for iPhone': 141, 'Twitter Web App': 27, 'TweetDeck': 24, 'Twitter for iPad': 4, 'Twitter Web Client': 3, 'SnapStream TV Search': 1}"
PaloAltoNews,"{'GroupTweet': 127, 'Hootsuite': 73}"
rorylitwin,"{'TweetDeck': 173, 'Tweekly.fm App': 23, 'Twitter for Android': 3, 'Twitter Web App': 1}"
AussiBodySecret,{'dlvr.it': 200}
kilpatrickeolue,{'dlvr.it': 200}
mirakyun,"{'TweetDeck': 161, 'Twitter Web App': 23, 'Twitter for Android': 16}"
Aethylred,"{'Twitterrific for iOS': 173, 'TweetDeck': 15, 'Twitter for iPhone': 12}"
TRSMRyersonU,"{'Twitter Web App': 199, 'Twitter Web Client': 1}"
ponder76,{'Twitter for Android': 200}
cafbtx,{'GrabInbox': 46}
msrainerain,{'Twitter for iPhone': 198}
AceValour,"{'Twitter for Android': 122, 'Twitter Web App': 78}"
LouanneGaffe,"{'Twitter for Android': 136, 'Twitter for iPhone': 3, 'Smule': 2}"
