username,userid,nFollowers,nFollowings,FollowersToFollowing,nLists,nFavs,nPosts,geo,location,url,description,verified,bot_in_name,bot_in_des,fav_tweets,fav_retweets,fav_replies,ret_tweets,ret_retweets,ret_replies,pop_fav_tweets,pop_fav_retweets,pop_fav_replies,pop_ret_tweets,pop_ret_retweets,pop_ret_replies,nPostMention,nPostQuote,nPostPlace,Tavg,age,screen_name_len
sheezy0,2231233110,66,0,,34,0,151093,0,1,0,1,0,0,0,4,0,0,3,0,0,,,,,,,0,0,0,668.395,233315325.0,7
DavdBurnett,857005892,1968,947,2.078141499472017,195,182,16036,0,1,1,1,0,0,0,66,0,0,101,6596,0,0.000733618629467015,0.0,,0.0011226588117601289,0.06633479157238396,,105,2,0,57940.33,196203064.0,11
douggarland,46591322,677,171,3.9590643274853803,30,1031,1841,1,1,0,1,0,0,0,170,0,17,31,159900,0,0.0062921015619216815,0.0,0.002761533463287849,0.0011473832259974832,187.01754385964912,0.0,138,64,82,618793.4070351758,91863592.0,11
WilfordGemma,2447963504,816,1561,0.5227418321588725,71,65136,55198,1,0,1,1,0,0,0,9,0,112,1,221080,7,0.0019218449711723255,0.0,0.0007798791187365959,0.00021353833013025838,1.3488301150056436,4.874244492103724e-05,199,16,0,61865.39,244758192.0,12
monroevicious,122239118,724,489,1.4805725971370143,10,24991,34233,1,1,0,1,0,0,0,158,0,87,46,953121,7,0.003713889476529629,0.0,0.0030154933971092857,0.0010812589615212843,36.77589998842459,0.00024262590551454022,109,58,0,30118.613065326634,115438480.0,13
Shutterstock,14516920,289153,726,398.2823691460055,3518,12148,33874,1,1,1,1,1,0,0,1411,0,31,399,12,6,0.014503926647752971,0.0,0.0006569188387370206,0.004101393857160479,0.01652892561983471,0.00012714558169103624,79,0,0,11296.865,56145799.0,12
GabrieleNeher,297915412,1680,1046,1.6061185468451242,162,17018,44630,1,1,1,1,0,0,0,280,0,79,15,4387,1,0.005576800509878904,0.0,0.0011988224225317915,0.00029875717017208413,0.04712441188476164,1.5174967373820145e-05,180,31,0,21791.485,152361131.0,13
Blissful_Eats,414416233,1594,1667,0.9562087582483503,56,693,9235,0,1,1,1,0,0,0,26,0,0,7,0,0,7.798440311937613e-05,,,2.0995800839832035e-05,,,45,0,0,31045.11,168570846.0,13
kaylanabrewer_,749236908,330,516,0.6395348837209303,5,15306,30798,1,1,0,1,0,0,0,47,0,2,14,2061453,0,0.0009294415440594842,0.0,0.00024224806201550387,0.0002768549280177187,50.57042979099205,0.0,95,20,0,43517.96373056995,191678740.0,14
americacredit,568815176,160,0,,171,0,250104,0,1,1,1,0,0,0,4,0,0,1,0,0,,,,,,,1,0,0,575.065,183014093.0,13
Toucaan_Samm,363161438,138,100,1.38,0,1193,16020,1,0,0,0,0,0,0,8,0,7,0,57223,0,0.0015384615384615385,0.0,0.0017948717948717949,0.0,22.008846153846154,0.0,66,11,0,177892.13675213675,161541764.0,12
