username,location,text,created_at
FionaWatkins4,"Llansantffraid, Powys ",RT @TheoPaphitis: #BrexitDay brings mixed emotions for people across the country &amp; tonight the UK leaves the EU. It's brought uncertainty &amp;…,2020-02-05
FionaWatkins4,"Llansantffraid, Powys ","RT @TheoPaphitis: There are so many opportunities out there - let's go for it, &amp; now we know the cards we've been dealt to play with - let…",2020-02-05
SimonRollins3,,"RT @SimonRollins3: Karen Danczuk in lingerie. Yes please!
#Brexit #brexitday https://t.co/8OYJ4OUEqz",2020-02-05
UD0NTNOBIN0W,,RT @OddreyMonkey: Congratulations to the United Kingdom for retaking your national sovereignty.  America is proud of you and looks forward…,2020-02-05
mariamuser,Milan - London 🇪🇺 /UK,"RT @FolPoliticsUK: WATCH | The Union Jack is removed from the EU Council building in Brussels.

#BrexitDay

(🎥 @SkyNews) https://t.co/H7IHQ…",2020-02-05
mariamuser,Milan - London 🇪🇺 /UK,RT @sketchaganda: Happy #BrexitDay https://t.co/H5na7KkYwi,2020-02-05
iky86,stoke on trent,RT @based_lindsey_: YOU'LL REGRET THIS!! #Brexit #BrexitDay #Remain #Remoan https://t.co/AUEl9C9QtX,2020-02-05
Jenemm3,Motherwell #YES 🏴󠁧󠁢󠁳󠁣󠁴󠁿,"RT @SueScarrott: ""Staff at one of Livingston's oldest factories were given the shocking news their workplace was closing on #BrexitDay
The…",2020-02-05
justgoantalya,,"RT @deniz_kiziloz: This is it 🇬🇧👋😢⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀
⠀⠀⠀⠀⠀⠀⠀⠀⠀
#brussel #europe #EU #UE #brexit #brexitday #brexit🇪🇺 @10DowningStreet @UKParliament…",2020-02-05
__readysetgo,,"RT @putasinghonit: The removing of the 🇬🇧 flag from the EU lineup was missing something, so I added it. 

*waves from black cab* 

#BrexitD…",2020-02-05
erawneb,Alpha Quandrant ,"RT @BrookesTimes: My cartoon Friday @TheTimes.....and it's #BrexitDay, God-awful Brexit Day. #EuropeanUnion #BorisJohnson #DonaldTrump http…",2020-02-05
DanaMil70590816,,"@Nigel_Farage @rentonMagaUK You are so awesome Nigel! You are freeing the UK while Trump frees the USA, some artist… https://t.co/bEluBHXcKM",2020-02-05
AnneWya88761901,,"RT @OxfordDiplomat: Remember as the clock strikes midnight: 

“Most of the important things in the world have been accomplished by people w…",2020-02-05
