username,userid,nFollowers,nFollowings,FollowersToFollowing,nLists,nFavs,nPosts,geo,location,url,description,verified,bot_in_name,bot_in_des,fav_tweets,fav_retweets,fav_replies,ret_tweets,ret_retweets,ret_replies,pop_fav_tweets,pop_fav_retweets,pop_fav_replies,pop_ret_tweets,pop_ret_retweets,pop_ret_replies,nPostMention,nPostQuote,nPostPlace,Tavg,age,screen_name_len
DJGruuvan,2718436417,103,110,0.9363636363636364,0,3,39,0,0,1,1,0,0,0,7,0,0,0,656,0,0.0026515151515151517,0.0,0.0,0.0,2.981818181818182,0.0,29,1,0,3000935.7435897435,254628766.0,9
Cc54518746C,792615528791703553,36,102,0.35294117647058826,10,3701,6304,0,0,0,0,0,0,0,5,0,332,4,430233,42,0.0008599931200550396,0.0,0.061413244543100265,0.0006879944960440316,51.43866571018651,0.00776914539400666,132,62,0,1293.5677083333333,324887642.0,11
penelope20mn,3287012484,12946,4522,2.862892525431225,256,103868,74360,0,1,1,1,0,0,0,0,0,6,0,159577,0,,0.0,0.00018954950401213117,,0.18671445186261637,0.0,196,2,0,6217.933673469388,284611987.0,12
flipcritic,93816184,2140,533,4.01500938086304,209,112538,229919,0,1,1,1,0,0,0,0,0,3,2,1201233,0,0.0,0.0,0.0014071294559099437,0.0012507817385866166,11.677308032546248,0.0,198,60,0,1108.995,106733146.0,10
Trmpwin,754884880996020225,4299,5403,0.7956690727373681,92,41371,103257,0,1,1,1,0,0,0,233,0,0,303,60912,0,0.0004107065739492169,0.0,,0.00053409481504984,0.12667120014473857,,104,15,0,156.04123711340208,315891955.0,7
leitmarvin,3027809025,175,130,1.3461538461538463,16,2120,14432,0,1,1,1,0,0,0,13,0,0,3,0,0,0.0005,,,0.00011538461538461538,,,0,0,0,7164.0,270635259.0,10
ShitpostBot5000,4462881555,356111,3,118703.66666666667,1012,3,66019,0,0,1,1,0,1,1,77701,0,0,8432,0,0,129.50166666666667,,,14.053333333333333,,,0,0,0,1790.995,297030844.0,15
SethNickerson,804681,230,117,1.9658119658119657,16,6,1685,0,1,1,1,0,0,0,88,0,1,19,3199,0,0.00450381288704642,0.0,0.0005698005698005698,0.0009724141460668406,1.6083459024635496,0.0,96,5,0,1231936.7085427137,19869473.0,13
DadaistBot,3078493577,196,335,0.5850746268656717,59,5,32104,0,0,0,1,0,1,1,18,0,0,22,0,0,0.00026865671641791044,,,0.0003283582089552239,,,0,0,0,1873.005,272855032.0,10
NJNEWITY,2580041,32,32,1.0,0,3,40,1,1,0,1,0,0,0,2,0,0,0,0,0,0.0015625,,,0.0,,,13,0,2,9333068.775,22119802.0,8
charliemassie,50881405,1400,697,2.0086083213773316,98,4150,92868,0,1,0,1,0,0,0,5,0,51,2,195072,0,0.00015262981165481242,0.0,0.0005900865460267506,6.105192466192497e-05,9.650818779993074,0.0,169,15,0,2095.73,93061221.0,13
salazarcedillo2,318547968,0,0,,0,0,54,0,0,0,0,0,0,0,2,0,0,10,201,0,,,,,,,43,4,0,473173.75471698114,155323143.0,15
HydroElections,724050768106500096,11,0,,14,0,560562,0,1,1,1,0,0,0,0,0,0,0,0,0,,,,,,,0,0,0,159.09,308540530.0,14
TamsSascha,98473573,4784,4562,1.0486628671635247,442,5527,3044,1,1,1,1,0,0,0,214,0,1,61,5,0,0.00023933290984083243,0.0,0.00010960105217010084,6.822106308547093e-05,0.0005480052608505041,0.0,146,2,1,184741.55,108508886.0,10
jonathan_auer,827514835764117504,309,1001,0.3086913086913087,4,22171,6736,1,1,1,1,0,0,0,212,0,18,16,257364,0,0.007303041785800407,0.0,0.0017982017982017982,0.0005511729649660684,1.606918081918082,0.0,173,28,0,11634.97487437186,333208286.0,13
DataScienTweets,759606437538660352,4012,36,111.44444444444444,544,79,3532,0,1,0,1,0,0,0,13,0,1,14,4645,0,0.012896825396825398,0.0,0.009259259259259259,0.013888888888888888,0.9418085969180859,0.0,138,1,0,467964.7738095238,317017662.0,15
adjacentstories,3391821934,201,2290,0.08777292576419214,4,53934,48606,1,0,0,1,0,0,0,1,0,0,0,1003250,0,0.00014556040756914118,0.0,,0.0,2.2238600846762573,,197,63,0,1790.715,285155859.0,15
sirsmokergollum,802634585884467202,62,247,0.25101214574898784,0,527,574,1,1,1,1,0,0,0,100,0,38,46,28125,8,0.0037837224261228195,0.0,0.0020242914979757085,0.001740512316016497,6.698023338890212,0.0004261666311527807,99,7,1,98366.93,327276372.0,15
FutureDanger6,3536579297,9584,8870,1.0804960541149944,178,12134,31039,0,1,1,1,0,0,0,81,0,0,61,1999,0,5.159268530372805e-05,0.0,,3.8853750660832236e-05,0.00979853928728984,,29,1,0,10724.805,288383109.0,13
CviannaWrites,2753400223,1630,1770,0.9209039548022598,210,550,8674,1,1,1,1,0,0,0,45,0,6,10,55022,1,0.00014363688595231253,0.0,0.0003389830508474576,3.191930798940279e-05,2.3912212081703603,5.6497175141242944e-05,48,14,0,220866.205,255742921.0,13
RedScareBot,68956490,12507,145,86.2551724137931,996,2737,2497544,0,1,1,1,0,1,0,208,0,312,118,35,277,0.03876980428704567,0.0,0.013532856213402732,0.02199440820130475,0.0603448275862069,0.012014747343309477,174,21,0,634987.29,98365050.0,11
godtributes,2566358196,25992,10531,2.4681416769537554,513,0,1768111,0,1,0,1,0,0,1,819,0,0,339,0,0,0.00038885196087740955,,,0.00016095337574779223,,,0,0,0,15444.005,249795461.0,11
aprilmendez,155477615,4,57,0.07017543859649122,0,5,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0.0,,,0.0,,,2,0,0,3263335.5,123577865.0,11
BurstOutMag,816490225098592256,15,112,0.13392857142857142,3,2,57,1,1,0,1,0,0,0,33,0,0,23,36762,0,0.005777310924369748,0.0,0.0,0.0040266106442577035,65.64642857142857,0.0,38,2,7,746107.1403508772,330579814.0,11
leskenazi,15431761,3810,147,25.918367346938776,378,6702,6996,1,1,1,1,0,0,0,19,0,25,9,293955,8,0.0053854875283446705,0.0,0.006541077969649398,0.002551020408163265,13.331292517006803,0.0020931449502878076,172,47,0,50237.89,63145360.0,9
MlatkovicMark,885540469,1409,3045,0.4627257799671593,25,4013,4202,1,1,1,1,0,0,0,35,0,200,3,15302,7,9.195402298850576e-05,0.0,0.001010483769104459,7.88177339901478e-06,0.5025287356321839,3.536693191865606e-05,77,13,0,253609.58,197508013.0,13
charjoe2000,2442980549,7046,6866,1.0262161374890766,1,93797,131797,0,1,0,1,0,0,0,0,0,1,0,1499149,0,,0.0,7.282260413632391e-05,,1.1139993282486311,0.0,198,40,0,17080.30808080808,243121543.0,11
Evolgirl13,40914533,4602,3110,1.479742765273312,9,128268,15433,0,1,0,1,0,0,0,411,0,138,94,224990,16,0.0035717389415138613,0.0,0.0003825257789111875,0.0008168940644824889,1.5392351371690498,4.435081494622464e-05,164,34,0,17924.335,89744474.0,10
haikuthegibson,3730020912,73,4,18.25,16,12,6106,0,1,1,1,0,0,0,14,0,0,12,0,0,0.0175,,,0.015,,,0,0,0,21438.005,290642470.0,14
MetaphorMagnet,2428936177,758,14,54.142857142857146,160,9744,44350,0,1,1,1,0,0,1,7,0,0,2,0,2,0.004065040650406504,,0.0,0.00116144018583043,,0.0018552875695732839,4,0,0,2999.195,243783738.0,14
herrlarbig,16905397,19842,10485,1.8924177396280402,585,6745,67826,0,1,1,1,0,0,0,530,0,230,104,2463,10,0.0005679595784239658,0.0,0.00024927385442406904,0.00011144867199262724,0.010213348261491572,1.0837993670611696e-05,96,5,0,13494.1,71761422.0,10
MiiBlinn,2397575574,491,391,1.2557544757033248,40,1103,2422,0,0,1,1,0,0,0,231,0,49,70,2970,0,0.013427109974424553,0.0,0.0030565778803568087,0.004068821204371076,0.06605137329033693,0.0,179,33,0,144937.29,242300372.0,8
